event_id,camera_id,lane_id,LPN,LPJ,LPT,LPN_OCRval,LPJ_OCRval,LPT_OCRval,LPN_score,LPJ_score,LPT_score,weighted_score,baseline_tau_weighted,baseline_tau_or,LPN_thresh,LPJ_thresh,LPT_thresh,decision_weighted_baseline,decision_or_adaptive,feedback_source,error_label,overall_correct
s0-c1-0,CAM-1,1,WMM8713,CA,COMMERCIAL,WMM8713,CA,COMMERCIAL,94.621,89.843,47.559,85.889,81.000,47.000,83.745,78.847,43.067,auto_clear,auto_clear,none,,1
s0-c1-1,CAM-1,1,YZA3768,FL,PASSENGER,YZA3768,FL,PASSENGER,88.572,87.336,49.927,82.343,81.000,47.000,83.745,78.847,43.067,auto_clear,auto_clear,none,,1
s0-c1-2,CAM-1,1,EEP6666,CO,COMMERCIAL,EEP6666,CO,COMMERCIAL,95.037,89.926,50.404,86.553,81.000,47.000,83.745,78.847,43.067,auto_clear,auto_clear,none,,1
s0-c1-3,CAM-1,1,UPU1725,OK,COMMERCIAL,UPU1725,OK,COMMERCIAL,92.041,89.795,48.822,84.772,81.000,47.000,83.745,78.847,43.067,auto_clear,auto_clear,none,,1
s0-c1-4,CAM-1,1,VKU8089,NV,GOV,VKU8089,NV,TRAILER,89.442,86.046,47.959,82.031,81.000,47.000,83.745,78.847,43.067,auto_clear,auto_clear,dispute,type1,0
s0-c1-5,CAM-1,1,TBP9934,OK,TRAILER,TBP9934,OK,GOV,92.397,85.370,54.780,84.295,81.000,47.000,83.745,78.847,43.067,auto_clear,auto_clear,none,,0
s0-c1-6,CAM-1,1,TGO7818,AZ,PASSENGER,TGO7818,AZ,COMMERCIAL,87.677,85.945,48.126,81.138,81.000,47.000,83.745,78.847,43.067,auto_clear,auto_clear,dispute,type1,0
s0-c1-7,CAM-1,1,HNQ9997,NV,TEMP,HNQ9997,NV,TEMP,91.018,85.686,47.137,82.570,81.000,47.000,83.745,78.847,43.067,auto_clear,auto_clear,none,,1
s0-c1-8,CAM-1,1,FBW5774,OK,TEMP,FBW5E74,OK,TEMP,91.087,88.967,52.784,84.599,81.000,47.000,83.745,78.847,43.067,auto_clear,auto_clear,none,,0
s0-c1-9,CAM-1,1,AGF5912,NM,PASSENGER,AGF5912,NM,COMMERCIAL,90.987,83.755,51.843,82.584,81.000,47.000,83.745,78.847,43.067,auto_clear,auto_clear,none,,0
s0-c1-10,CAM-1,1,RCF7138,NM,TEMP,RCF7138,NM,TEMP,94.966,84.503,51.925,84.848,81.000,47.000,83.745,78.847,43.067,auto_clear,auto_clear,none,,1
s0-c1-11,CAM-1,1,YCD9202,CA,COMMERCIAL,YCD9202,CA,COMMERCIAL,93.780,82.078,50.869,83.247,81.000,47.000,83.745,78.847,43.067,auto_clear,auto_clear,none,,1
s0-c1-12,CAM-1,1,OAV0290,NM,TEMP,OAV0290,NM,TEMP,91.299,85.668,47.667,82.783,81.000,47.000,83.745,78.847,43.067,auto_clear,auto_clear,none,,1
s0-c1-13,CAM-1,1,IBD8114,AZ,GOV,IBD8114,AZ,TEMP,91.179,84.743,48.415,82.512,81.000,47.000,83.745,78.847,43.067,auto_clear,auto_clear,none,,0
s0-c1-14,CAM-1,1,EMG4062,AZ,TEMP,EMG4062,AZ,GOV,91.033,88.034,53.220,84.311,81.000,47.000,83.745,78.847,43.067,auto_clear,auto_clear,dispute,type1,0
s0-c1-15,CAM-1,1,DJP9805,TX,GOV,DJP9805,TX,TEMP,95.481,88.504,51.539,86.448,81.000,47.000,83.745,78.847,43.067,auto_clear,auto_clear,dispute,type1,0
s0-c1-16,CAM-1,1,XFL7381,FL,PASSENGER,XFL7381,FL,PASSENGER,96.185,83.138,51.486,84.913,81.000,47.000,83.745,78.847,43.067,auto_clear,auto_clear,none,,1
s0-c1-17,CAM-1,1,BEC6563,NM,TEMP,BEC6563,NM,COMMERCIAL,90.164,86.245,48.757,82.581,81.000,47.000,83.745,78.847,43.067,auto_clear,auto_clear,none,,0
s0-c1-18,CAM-1,1,ENX0177,OK,TEMP,ENX0177,OK,TEMP,91.015,85.856,49.438,82.973,81.000,47.000,83.745,78.847,43.067,auto_clear,auto_clear,none,,1
s0-c1-19,CAM-1,1,QGH3631,AZ,TRAILER,QGH3631,AZ,TRAILER,92.321,86.128,50.082,83.818,81.000,47.000,83.745,78.847,43.067,auto_clear,auto_clear,none,,1
s0-c1-20,CAM-1,1,KJV5265,CA,GOV,KJV5265,CA,TEMP,93.379,89.093,50.909,85.509,81.000,47.000,83.745,78.847,43.067,auto_clear,auto_clear,dispute,type1,0
s0-c1-21,CAM-1,1,MZI3199,OK,COMMERCIAL,MZI3199,OK,GOV,92.278,89.305,49.901,84.881,81.000,47.000,83.745,78.847,43.067,auto_clear,auto_clear,none,,0
s0-c1-22,CAM-1,1,YLO0305,NM,COMMERCIAL,YLO0305,NM,GOV,94.382,88.566,44.773,84.905,81.000,47.000,83.745,78.847,43.067,auto_clear,auto_clear,none,,0
s0-c1-23,CAM-1,1,HHF1067,CO,TRAILER,HHF1067,CO,GOV,88.918,89.654,49.162,83.212,81.000,47.000,83.745,78.847,43.067,auto_clear,auto_clear,none,,0
s0-c1-24,CAM-1,1,DEF6989,NV,GOV,DEF6989,NV,GOV,89.686,81.885,55.282,81.795,81.000,47.000,83.745,78.847,43.067,auto_clear,auto_clear,none,,1
s0-c1-25,CAM-1,1,ORC8137,CO,TEMP,ORC8137,CO,TEMP,90.613,83.668,49.054,81.948,81.000,47.000,83.745,78.847,43.067,auto_clear,auto_clear,none,,1
s0-c1-26,CAM-1,1,UAY4292,OK,PASSENGER,UAY4292,OK,PASSENGER,91.597,83.336,46.703,81.972,81.000,47.000,83.745,78.847,43.067,auto_clear,auto_clear,none,,1
s0-c1-27,CAM-1,1,VPA3504,OK,GOV,VPA3504,OK,TEMP,86.998,81.505,50.564,79.610,81.000,47.000,83.745,78.847,43.067,review,auto_clear,none,,0
s0-c1-28,CAM-1,1,LMU1242,CA,TEMP,LMU1242,CA,TRAILER,94.663,83.960,51.366,84.423,81.000,47.000,83.745,78.847,43.067,auto_clear,auto_clear,none,,0
s0-c1-29,CAM-1,1,CDF8696,TX,TEMP,CDF8696,TX,TEMP,94.021,87.834,49.096,85.117,81.000,47.000,83.745,78.847,43.067,auto_clear,auto_clear,none,,1
s0-c1-30,CAM-1,1,QWJ2354,NV,TEMP,QWJ2354,NV,TEMP,93.152,87.865,51.946,85.121,81.000,47.000,83.745,78.847,43.067,auto_clear,auto_clear,none,,1
s0-c1-31,CAM-1,1,RKN4453,TX,GOV,RKN4453,TX,GOV,90.510,86.848,54.274,83.793,81.000,47.000,83.745,78.847,43.067,auto_clear,auto_clear,none,,1
s0-c1-32,CAM-1,1,TSC9984,AZ,PASSENGER,TSC9984,AZ,PASSENGER,92.824,86.158,51.004,84.218,81.000,47.000,83.745,78.847,43.067,auto_clear,auto_clear,none,,1
s0-c1-33,CAM-1,1,ISQ4048,OK,TEMP,ISQ4048,OK,TEMP,94.245,86.008,50.958,84.869,81.000,47.000,83.745,78.847,43.067,auto_clear,auto_clear,none,,1
s0-c1-34,CAM-1,1,MVX0504,OK,TRAILER,MVX0504,OK,TRAILER,88.733,91.535,49.345,83.805,81.000,47.000,83.745,78.847,43.067,auto_clear,auto_clear,none,,1
s0-c1-35,CAM-1,1,CPY4996,OK,PASSENGER,CPY4996,OK,TEMP,91.400,84.613,50.910,82.951,81.000,47.000,83.745,78.847,43.067,auto_clear,auto_clear,none,,0
s0-c1-36,CAM-1,1,PQN2703,CO,TEMP,PQN2703,CO,TEMP,91.173,86.768,48.943,83.297,81.000,47.000,83.745,78.847,43.067,auto_clear,auto_clear,none,,1
s0-c1-37,CAM-1,1,TRT3840,OK,TEMP,TRT3840,OK,TEMP,92.074,85.084,54.346,83.968,81.000,47.000,83.745,78.847,43.067,auto_clear,auto_clear,none,,1
s0-c1-38,CAM-1,1,CET7590,TX,GOV,CET7590,TX,GOV,93.681,82.877,54.052,83.955,81.000,47.000,83.745,78.847,43.067,auto_clear,auto_clear,none,,1
s0-c1-39,CAM-1,1,CLH9279,NM,PASSENGER,CLH9279,NM,PASSENGER,91.365,86.866,50.616,83.678,81.000,47.000,83.745,78.847,43.067,auto_clear,auto_clear,none,,1
s0-c1-40,CAM-1,1,LMO4062,NV,COMMERCIAL,LMO4062,NV,COMMERCIAL,92.520,88.627,48.935,84.620,81.000,47.000,83.745,78.847,43.067,auto_clear,auto_clear,none,,1
s0-c1-41,CAM-1,1,IRV1248,NM,TEMP,IRV1248,NM,TEMP,93.092,88.630,49.123,84.935,81.000,47.000,83.745,78.847,43.067,auto_clear,auto_clear,none,,1
s0-c1-42,CAM-1,1,SPS5780,OK,TEMP,SPS5780,OK,COMMERCIAL,91.423,92.548,51.592,85.842,81.000,47.000,83.745,78.847,43.067,auto_clear,auto_clear,dispute,type1,0
s0-c1-43,CAM-1,1,ENI7109,NM,GOV,ENI7109,NM,PASSENGER,92.509,86.428,52.431,84.369,81.000,47.000,83.745,78.847,43.067,auto_clear,auto_clear,none,,0
s0-c1-44,CAM-1,1,TDU0114,NV,COMMERCIAL,TDU0114,NV,COMMERCIAL,90.162,85.389,51.425,82.681,81.000,47.000,83.745,78.847,43.067,auto_clear,auto_clear,none,,1
s0-c1-45,CAM-1,1,OYK3853,TX,TRAILER,OYK3853,TX,COMMERCIAL,91.397,86.223,51.006,83.528,81.000,47.000,83.745,78.847,43.067,auto_clear,auto_clear,none,,0
s0-c1-46,CAM-1,1,NWP1029,CO,PASSENGER,NWP1029,CO,GOV,91.471,85.393,49.501,83.048,81.000,47.000,83.745,78.847,43.067,auto_clear,auto_clear,none,,0
s0-c1-47,CAM-1,1,NAH9843,CA,TRAILER,NAH9843,CA,TEMP,92.495,87.842,51.866,84.772,81.000,47.000,83.745,78.847,43.067,auto_clear,auto_clear,dispute,type1,0
s0-c1-48,CAM-1,1,ETC8347,TX,TRAILER,ETC8347,TX,TRAILER,96.456,85.724,53.135,86.202,81.000,47.000,83.745,78.847,43.067,auto_clear,auto_clear,none,,1
s0-c1-49,CAM-1,1,ELJ5824,CO,TRAILER,ELJ5824,CO,PASSENGER,90.365,84.563,51.606,82.520,81.000,47.000,83.745,78.847,43.067,auto_clear,auto_clear,none,,0
s0-c1-50,CAM-1,1,FDJ1124,FL,COMMERCIAL,FDJ1124,FL,TEMP,93.296,87.154,51.870,84.933,81.000,47.000,83.745,78.847,43.067,auto_clear,auto_clear,dispute,type1,0
